Read Date	Usage Amount
11/18/2019	5.33
11/19/2019	8.41
11/20/2019	8.82
11/21/2019	10.25
11/22/2019	10.38
11/24/2019	18.17
11/25/2019	10.2
11/26/2019	12.63
11/27/2019	5.7
11/28/2019	12.36
11/29/2019	13.82
11/30/2019	10.76
12/1/2019	9.7
12/2/2019	17.53
12/3/2019	19.25
12/4/2019	14.69
12/5/2019	9.08
12/6/2019	12.83
12/7/2019	9.21
12/8/2019	4.23
12/9/2019	8.51
12/10/2019	11.74
12/11/2019	8.52
12/12/2019	4.59
12/13/2019	5.29
12/14/2019	3.21
12/15/2019	4.81
12/16/2019	6.41
12/17/2019	10
12/18/2019	13
12/19/2019	2.38
12/20/2019	10.13
12/21/2019	5.71
12/22/2019	8.17
12/23/2019	4.15